postedDate,eventDate,voidedDate,event,basis,action,entryNumber,portOfEntry,entryDate,entryType,teamNumber
,,,Liquidated,,Change Increase,9S300000467,5301,,47,6D0
,,,Liquidated,,Change Increase,D9713076393,5301,,47,6D0
,,,Liquidated,,Change Increase,D9713075247,5301,,47,6D0
,,,Liquidated,,No Change,96802005684,5301,,47,6D0
,,,Liquidated,,No Change,96802005692,5301,,47,6D0
,,,Liquidated,,No Change,96802005700,5301,,47,6D0
,,,Liquidated,,No Change,96802005718,5301,,47,6D0
,,,Liquidated,,No Change,96802005734,5301,,47,6D0
,,,Liquidated,,No Change,96802005742,5301,,47,6D0
,,,Liquidated,,No Change,96802005759,5301,,47,6D0
,,,Liquidated,,No Change,96802005767,5301,,47,6D0
,,,Liquidated,,No Change,96802005874,5301,,47,6D0
,,,Liquidated,,No Change,AA603411049,5301,,47,6D0
,,,Extended,Customs Extension,,94324094203,5301,,47,6D0
,,,Extended,Customs Extension,,94324094195,5301,,47,6D0
,,,Extended,Customs Extension,,94324094187,5301,,47,6D0
,,,Extended,Customs Extension,,94324094179,5301,,47,6D0
,,,Extended,Customs Extension,,94324094161,5301,,47,6D0
,,,Extended,Customs Extension,,94324094153,5301,,47,6D0
,,,Extended,Customs Extension,,94324094146,5301,,47,6D0
,,,Extended,Customs Extension,,94324094138,5301,,47,6D0
,,,Extended,Customs Extension,,94324094120,5301,,47,6D0
,,,Extended,Customs Extension,,94324094096,5301,,47,6D0
,,,Extended,Customs Extension,,94324094088,5301,,47,6D0
,,,Extended,Customs Extension,,E5S13130010,5301,,47,6D0
,,,Extended,Customs Extension,,SQ310075347,5301,,47,6D0
,,,Extended,Customs Extension,,SQ310075339,5301,,47,6D0
,,,Extended,Customs Extension,,SQ310074548,5301,,47,6D0
,,,Extended,Customs Extension,,BER90177856,5301,,47,6D0
,,,Extended,Customs Extension,,BER90162791,5301,,47,6D0
,,,Suspended,Subject to Injunction,,BER90162791,5301,,47,6D0
,,,Extended,Customs Extension,,AA603406098,5301,,47,6D0
,,,Extended,Customs Extension,,94324094112,5301,,47,6D0
,,,Extended,Customs Extension,,94324094104,5301,,47,6D0
,,,Extended,Customs Extension,,96802006385,5301,,47,6D0
,,,Extended,Customs Extension,,AA603406130,5301,,47,6D0
,,,Extended,Customs Extension,,BER90162791,5301,,47,6D0
,,,Extended,Customs Extension,,E5S34835670,5301,,47,6D0
,,,Extended,Customs Extension,,E5S34835688,5301,,47,6D0
,,,Extended,Customs Extension,,E5S34835696,5301,,47,6D0
,,,Extended,Customs Extension,,E5S34835704,5301,,47,6D0
,,,Extended,Customs Extension,,E5S34835712,5301,,47,6D0
,,,Extended,Customs Extension,,E5S34835720,5301,,47,6D0
,,,Extended,Customs Extension,,E5S34835720,5301,,47,6D0
,,,Extended,Customs Extension,,E5S34835738,5301,,47,6D0
,,,Extended,Customs Extension,,E5S34835746,5301,,47,6D0
,,,Extended,Customs Extension,,E5S34835753,5301,,47,6D0
,,,Extended,Customs Extension,,E5S34835761,5301,,47,6D0
,,,Extended,Customs Extension,,E5S34835779,5301,,47,6D0
,,,Extended,Customs Extension,,E5S34835787,5301,,47,6D0
,,,Extended,Customs Extension,,E5S34835795,5301,,47,6D0
,,,Extended,Customs Extension,,E5S34835803,5301,,47,6D0
,,,Extended,Customs Extension,,E5S34835811,5301,,47,6D0
,,,Extended,Customs Extension,,E5S34835829,5301,,47,6D0
,,,Extended,Customs Extension,,E5S34835837,5301,,47,6D0
,,,Extended,Customs Extension,,E5S34835845,5301,,47,6D0
,,,Extended,Customs Extension,,E5S34835852,5301,,47,6D0
,,,Extended,Customs Extension,,E5S34835860,5301,,47,6D0
,,,Extended,Customs Extension,,E5S34835886,5301,,47,6D0
,,,Extended,Customs Extension,,E5S34835878,5301,,47,6D0
,,,Extended,Customs Extension,,E5S34835894,5301,,47,6D0
,,,Extended,Customs Extension,,E5S34835902,5301,,47,6D0
,,,Extended,Customs Extension,,E5S34835910,5301,,47,6D0
,,,Extended,Customs Extension,,E5S34835928,5301,,47,6D0
,,,Extended,Customs Extension,,E5S34835936,5301,,47,6D0
,,,Extended,Customs Extension,,E5S34835944,5301,,47,6D0
,,,Extended,Customs Extension,,E5S34835951,5301,,47,6D0
,,,Extended,Customs Extension,,E5S34835969,5301,,47,6D0
,,,Extended,Customs Extension,,8YE00065516,5301,,47,6D0
,,,Extended,Customs Extension,,94324085920,5301,,47,6D0
,,,Extended,Customs Extension,,WBA10137668,5301,,47,6D0
,,,Extended,Customs Extension,,8RM00000900,5301,,47,6D0
,,,Re-liquidated,,No Change,BER90176247,5301,,47,6D0
,,,Liquidated,,Change Increase,D9713059944,5301,,47,6D0
,,,Liquidated,,Change Decrease,BER90166933,5301,,47,6D0
,,,Liquidated,,Change Increase,N8498002854,5301,,47,6D0
,,,Liquidated,,No Change,BER90183250,5301,,47,6D0
,,,Liquidated,,No Change,BER90166529,5301,,47,6D0
,,,Liquidated,,Change Increase,BER90177351,5301,,47,6D0
,,,Liquidated,,No Change,D9716783268,5301,,47,6D0
,,,Liquidated,,No Change,DL700009368,5301,,47,6D0
,,,Liquidated,,Change Increase,N8498002847,5301,,47,6D0
,,,Liquidated,,Change Increase,N8498002839,5301,,47,6D0
,,,Liquidated,,No Change,CWL55637186,5301,,47,6D0
,,,Liquidated,,No Change,CWL55499223,5301,,47,6D0
,,,Liquidated,,No Change,AA603400505,5301,,47,6D0
,,,Extended,Customs Extension,,96802006310,5301,,47,6D0
,,,Extended,Customs Extension,,8RM00000918,5301,,47,6D0
,,,Extended,Customs Extension,,SQ310073466,5301,,47,6D0
,,,Extended,Customs Extension,,JF901324117,5301,,47,6D0
,,,Extended,Customs Extension,,JF901324109,5301,,47,6D0
,,,Extended,Customs Extension,,WBA10137015,5301,,47,6D0
,,,Extended,Customs Extension,,NP810003905,5301,,47,6D0
,,,Extended,Customs Extension,,NP810003897,5301,,47,6D0
,,,Extended,Customs Extension,,NP810003889,5301,,47,6D0
,,,Extended,Customs Extension,,NP810003871,5301,,47,6D0
,,,Extended,Customs Extension,,NP810003616,5301,,47,6D0
,,,Extended,Customs Extension,,NP810003608,5301,,47,6D0
,,,Extended,Customs Extension,,NP810003590,5301,,47,6D0
,,,Extended,Customs Extension,,NP810003582,5301,,47,6D0
,,,Extended,Customs Extension,,NP810003574,5301,,47,6D0
,,,Extended,Customs Extension,,NP810003566,5301,,47,6D0
,,,Extended,Customs Extension,,NP810003558,5301,,47,6D0
,,,Extended,Customs Extension,,NP810003541,5301,,47,6D0
,,,Extended,Customs Extension,,NP810003533,5301,,47,6D0
,,,Extended,Customs Extension,,NP810003525,5301,,47,6D0
,,,Extended,Customs Extension,,NP810003517,5301,,47,6D0
,,,Extended,Customs Extension,,NP810003509,5301,,47,6D0
,,,Extended,Customs Extension,,NP810003491,5301,,47,6D0
,,,Extended,Customs Extension,,NP810003483,5301,,47,6D0
,,,Extended,Customs Extension,,NP810003475,5301,,47,6D0
,,,Extended,Customs Extension,,NP810002808,5301,,47,6D0
,,,Extended,Customs Extension,,NP810002709,5301,,47,6D0
,,,Extended,Customs Extension,,SQ310100244,5301,,47,6D0
,,,Extended,Customs Extension,,SQ310075321,5301,,47,6D0
,,,Extended,Customs Extension,,SQ310075313,5301,,47,6D0
,,,Extended,Customs Extension,,SQ310073193,5301,,47,6D0
,,,Liquidated,,No Change,BER90212935,5301,,47,6D0
,,,Liquidated,,No Change,BER90212414,5301,,47,6D0
,,,Liquidated,Drawback Denied,Change Decrease,40423323662,5301,,47,6D0
,,,Liquidated,,No Change,DL700009350,5301,,47,6D0
,,,Liquidated,,No Change,AA603405710,5301,,47,6D0
,,,Liquidated,,No Change,BER90213024,5301,,47,6D0
,,,Re-liquidated,,Change Increase,N8498002813,5301,,47,6D0
,,,Re-liquidated,,Change Increase,N8498002805,5301,,47,6D0
,,,Liquidated,,Change Increase,D9713032875,5301,,47,6D0
,,,Liquidated,,Change Increase,D9713032768,5301,,47,6D0
,,,Re-liquidated,,Change Increase,N8498002797,5301,,47,6D0
,,,Re-liquidated,,Change Increase,N8498002821,5301,,47,6D0
,,,Re-liquidated,,Change Increase,N8498002789,5301,,47,6D0
,,,Liquidated,,No Change,AA603405785,5301,,47,6D0
,,,Liquidated,,Change Increase,DL700009343,5301,,47,6D0
,,,Liquidated,,Change Increase,AA603404267,5301,,47,6D0
,,,Extended,Customs Extension,,BER90161819,5301,,47,6D0
,,,Extended,Customs Extension,,JF901323853,5301,,47,6D0
,,,Extended,Customs Extension,,E5S77780080,5301,,47,6D0
,,,Extended,Customs Extension,,E5S77780072,5301,,47,6D0
,,,Extended,Customs Extension,,E5S77780064,5301,,47,6D0
,,,Extended,Customs Extension,,E5S77780031,5301,,47,6D0
,,,Extended,Customs Extension,,E5S77780023,5301,,47,6D0
,,,Extended,Customs Extension,,E5S77770057,5301,,47,6D0
,,,Extended,Customs Extension,,E5S77770040,5301,,47,6D0
,,,Extended,Customs Extension,,E5S77770024,5301,,47,6D0
,,,Extended,Customs Extension,,NP810010553,5301,,47,6D0
,,,Extended,Customs Extension,,NP810009035,5301,,47,6D0
,,,Extended,Customs Extension,,NP810004424,5301,,47,6D0
,,,Extended,Customs Extension,,NP810009431,5301,,47,6D0
,,,Extended,Customs Extension,,NP810009423,5301,,47,6D0
,,,Extended,Customs Extension,,NP810009415,5301,,47,6D0
,,,Extended,Customs Extension,,NP810009407,5301,,47,6D0
,,,Extended,Customs Extension,,NP810009399,5301,,47,6D0
,,,Extended,Customs Extension,,NP810010082,5301,,47,6D0
,,,Extended,Customs Extension,,NP810004788,5301,,47,6D0
,,,Extended,Customs Extension,,NP810004416,5301,,47,6D0
,,,Extended,Customs Extension,,NP810004408,5301,,47,6D0
,,,Extended,Customs Extension,,NP810004150,5301,,47,6D0
,,,Extended,Customs Extension,,NP810003863,5301,,47,6D0
,,,Extended,Customs Extension,,NP810003855,5301,,47,6D0
,,,Extended,Customs Extension,,NP810003467,5301,,47,6D0
,,,Extended,Customs Extension,,NP810003459,5301,,47,6D0
,,,Extended,Customs Extension,,BER90166933,5301,,47,6D0
,,,Extended,Customs Extension,,8RM00000892,5301,,47,6D0
,,,Extended,Customs Extension,,AC112971331,5301,,47,6D0
,,,Extended,Customs Extension,,ATJ00036907,5301,,47,6D0
,,,Extended,Customs Extension,,BER90162486,5301,,47,6D0
,,,Extended,Customs Extension,,NP810002790,5301,,47,6D0
,,,Extended,Customs Extension,,NP810002782,5301,,47,6D0
,,,Extended,Customs Extension,,NP810002774,5301,,47,6D0
,,,Extended,Customs Extension,,NP810002766,5301,,47,6D0
,,,Extended,Customs Extension,,NP810002758,5301,,47,6D0
,,,Extended,Customs Extension,,NP810002741,5301,,47,6D0
,,,Extended,Customs Extension,,NP810002733,5301,,47,6D0
,,,Extended,Customs Extension,,NP810002725,5301,,47,6D0
,,,Liquidated,,No Change,BER90176668,5301,,47,6D0
,,,Extended,Customs Extension,,WBA10136967,5301,,47,6D0
,,,Liquidated,,No Change,BER90183029,5301,,47,6D0
,,,Liquidated,,No Change,BER90174986,5301,,47,6D0
,,,Liquidated,,No Change,BER90172220,5301,,47,6D0
,,,Liquidated,,No Change,BER90170927,5301,,47,6D0
,,,Liquidated,,No Change,JF901320677,5301,,47,6D0
,,,Liquidated,,No Change,79995105630,5301,,47,6D0
,,,Liquidated,,Change Increase,D9713021167,5301,,47,6D0
,,,Liquidated,,Change Increase,D9713019492,5301,,47,6D0
,,,Re-liquidated,,Change Increase,D9713006424,5301,,47,6D0
,,,Liquidated,,Change Decrease,AA603405371,5301,,47,6D0
,,,Re-liquidated,,No Change,JF901320628,5301,,47,6D0
,,,Re-liquidated,,No Change,JF901320636,5301,,47,6D0
,,,Liquidated,Drawback Denied,Change Decrease,NP810002048,5301,,47,6D0
,,,Liquidated,Drawback Denied,Change Decrease,NP810002261,5301,,47,6D0
,,,Liquidated,Drawback Denied,Change Decrease,NP810002253,5301,,47,6D0
,,,Liquidated,Drawback Denied,Change Decrease,NP810001891,5301,,47,6D0
,,,Liquidated,Drawback Denied,Change Decrease,NP810002303,5301,,47,6D0
,,,Liquidated,,No Change,BER90176916,5301,,47,6D0
,,,Liquidated,,No Change,BER90176841,5301,,47,6D0
,,,Liquidated,,No Change,BER90176643,5301,,47,6D0
,,,Liquidated,,Change Increase,N8498002789,5301,,47,6D0
,,,Liquidated,,No Change,BER90171768,5301,,47,6D0
,,,Liquidated,,No Change,BER90171750,5301,,47,6D0
,,,Liquidated,,Change Increase,N8498002821,5301,,47,6D0
,,,Liquidated,,Change Increase,N8498002813,5301,,47,6D0
,,,Liquidated,,Change Increase,N8498002805,5301,,47,6D0
,,,Liquidated,,Change Increase,SQ310088977,5301,,47,6D0
,,,Liquidated,,Change Increase,N8498002797,5301,,47,6D0
,,,Liquidated,Drawback Denied,Change Decrease,NP810002147,5301,,47,6D0
,,,Liquidated,Drawback Denied,Change Decrease,NP810002311,5301,,47,6D0
,,,Liquidated,Drawback Denied,Change Decrease,NP810002097,5301,,47,6D0
,,,Liquidated,Drawback Denied,Change Decrease,NP810002113,5301,,47,6D0
,,,Liquidated,Drawback Denied,Change Decrease,NP810002121,5301,,47,6D0
,,,Re-liquidated,Drawback Denied,Change Decrease,NP810002071,5301,,47,6D0
,,,Re-liquidated,Drawback Denied,Change Decrease,NP810002055,5301,,47,6D0
,,,Re-liquidated,Drawback Denied,Change Decrease,NP810002089,5301,,47,6D0
,,,Liquidated,Drawback Denied,Change Decrease,NP810001859,5301,,47,6D0
,,,Liquidated,,No Change,BER90176247,5301,,47,6D0
,,,Liquidated,Drawback Denied,Change Decrease,JF901300638,5301,,47,6D0
,,,Liquidated,,No Change,BER90176569,5301,,47,6D0
,,,Liquidated,,No Change,SQ310072740,5301,,47,6D0
,,,Re-liquidated,Drawback Denied,Change Decrease,NP810002022,5301,,47,6D0
,,,Extended,Customs Extension,,W6930064697,5301,,47,6D0
,,,Extended,Customs Extension,,BER90215409,5301,,47,6D0
,,,Extended,Customs Extension,,JF901323440,5301,,47,ADA
,,,Extended,Customs Extension,,BER90166933,5301,,47,6D0
,,,Extended,Customs Extension,,JF901323465,5301,,47,6D0
,,,Extended,Customs Extension,,AC112943249,5301,,47,6D0
,,,Extended,Customs Extension,,BER90176692,5301,,47,6D0
,,,Extended,Customs Extension,,BER90148212,5301,,47,6D0
,,,Extended,Customs Extension,,8RM00000835,5301,,47,6D0
,,,Extended,Customs Extension,,AA603410702,5301,,47,6D0
,,,Extended,Customs Extension,,NP810003848,5301,,47,6D0
,,,Extended,Customs Extension,,NP810004770,5301,,47,6D0
,,,Extended,Customs Extension,,NP810004390,5301,,47,6D0
,,,Extended,Customs Extension,,NP810003830,5301,,47,6D0
,,,Extended,Customs Extension,,NP810003442,5301,,47,6D0
,,,Extended,Customs Extension,,NP810004762,5301,,47,6D0
,,,Extended,Customs Extension,,NP810004754,5301,,47,6D0
,,,Extended,Customs Extension,,NP810004747,5301,,47,6D0
,,,Extended,Customs Extension,,NP810004739,5301,,47,6D0
,,,Extended,Customs Extension,,NP810004721,5301,,47,6D0
,,,Extended,Customs Extension,,NP810004713,5301,,47,6D0
,,,Extended,Customs Extension,,NP810004705,5301,,47,6D0
,,,Extended,Customs Extension,,NP810004697,5301,,47,6D0
,,,Extended,Customs Extension,,NP810004689,5301,,47,6D0
,,,Extended,Customs Extension,,NP810004671,5301,,47,6D0
,,,Extended,Customs Extension,,NP810004663,5301,,47,6D0
,,,Extended,Customs Extension,,NP810004655,5301,,47,6D0
,,,Extended,Customs Extension,,NP810004648,5301,,47,6D0
,,,Extended,Customs Extension,,NP810004630,5301,,47,6D0
,,,Extended,Customs Extension,,NP810004622,5301,,47,6D0
,,,Extended,Customs Extension,,NP810004614,5301,,47,6D0
,,,Extended,Customs Extension,,NP810004606,5301,,47,6D0
,,,Extended,Customs Extension,,NP810004598,5301,,47,6D0
,,,Extended,Customs Extension,,NP810004580,5301,,47,6D0
,,,Extended,Customs Extension,,NP810004143,5301,,47,6D0
,,,Extended,Customs Extension,,NP810004135,5301,,47,6D0
,,,Extended,Customs Extension,,NP810004127,5301,,47,6D0
,,,Extended,Customs Extension,,NP810004119,5301,,47,6D0
,,,Extended,Customs Extension,,NP810004101,5301,,47,6D0
,,,Extended,Customs Extension,,NP810004093,5301,,47,6D0
,,,Extended,Customs Extension,,NP810004085,5301,,47,6D0
,,,Extended,Customs Extension,,NP810004077,5301,,47,6D0
,,,Extended,Customs Extension,,NP810004069,5301,,47,6D0
,,,Extended,Customs Extension,,NP810004051,5301,,47,6D0
,,,Extended,Customs Extension,,NP810004044,5301,,47,6D0
,,,Extended,Customs Extension,,NP810004036,5301,,47,6D0
,,,Extended,Customs Extension,,NP810004028,5301,,47,6D0
,,,Extended,Customs Extension,,NP810004010,5301,,47,6D0
,,,Extended,Customs Extension,,NP810004002,5301,,47,6D0
,,,Extended,Customs Extension,,NP810003996,5301,,47,6D0
,,,Extended,Customs Extension,,NP810003988,5301,,47,6D0
,,,Extended,Customs Extension,,NP810003970,5301,,47,6D0
,,,Extended,Customs Extension,,AA603405686,5301,,47,6D0
,,,Extended,Customs Extension,,AC112964021,5301,,47,6D0
,,,Liquidated,,No Change,WIB13441335,5301,,47,6D0
,,,Liquidated,,Change Increase,JF901322764,5301,,47,6D0
,,,Liquidated,,No Change,WIB13441368,5301,,47,6D0
,,,Liquidated,,Change Increase,JF901322756,5301,,47,6D0
,,,Liquidated,,Change Increase,JF901322749,5301,,47,6D0
,,,Liquidated,,Change Increase,JF901322731,5301,,47,6D0
,,,Liquidated,,Change Increase,JF901322723,5301,,47,6D0
,,,Liquidated,,Change Increase,AA603410546,5301,,47,6D0
,,,Liquidated,,No Change,WIB13439743,5301,,47,6D0
,,,Liquidated,,No Change,BER90180637,5301,,47,6D0
,,,Liquidated,,No Change,BER90174093,5301,,47,6D0
,,,Re-liquidated,,Change Decrease,NP810002576,5301,,47,6D0
,,,Liquidated,,Change Increase,D9713004593,5301,,47,6D0
,,,Liquidated,,No Change,BER90174085,5301,,47,6D0
,,,Liquidated,,No Change,BER90171941,5301,,47,6D0
,,,Re-liquidated,,Change Decrease,NP810002550,5301,,47,6D0
,,,Liquidated,,No Change,BER90164367,5301,,47,6D0
,,,Re-liquidated,,Change Decrease,NP810002626,5301,,47,6D0
,,,Re-liquidated,,Change Decrease,NP810002618,5301,,47,6D0
,,,Re-liquidated,,Change Decrease,NP810002592,5301,,47,6D0
,,,Liquidated,,No Change,BER90168426,5301,,47,6D0
,,,Re-liquidated,,Change Decrease,NP810002584,5301,,47,6D0
,,,Liquidated,,No Change,BER90166123,5301,,47,6D0
,,,Liquidated,,Change Increase,AHQ00020390,5301,,47,6D0
,,,Liquidated,,Change Increase,D9713006424,5301,,47,6D0
,,,Liquidated,,Change Increase,AHQ00020366,5301,,47,6D0
,,,Liquidated,,Change Increase,8RM00000868,5301,,47,6D0
,,,Extended,Customs Extension,,BER90176668,5301,,47,6D0
,,,Extended,Customs Extension,,BER90176643,5301,,47,6D0
,,,Extended,Customs Extension,,BER90176569,5301,,47,6D0
,,,Extended,Customs Extension,,AHQ00021018,5301,,47,6D0
,,,Extended,Customs Extension,,AHQ00021000,5301,,47,6D0
,,,Extended,Customs Extension,,BER90219609,5301,,47,6D0
,,,Extended,Customs Extension,,BER90219013,5301,,47,6D0
,,,Extended,Customs Extension,,JF901300638,5301,,47,6D0
,,,Extended,Customs Extension,,JF901327417,5301,,47,6D0
,,,Extended,Customs Extension,,8RM00000462,5301,,47,6D0
,,,Extended,Customs Extension,,JF901320677,5301,,47,6D0
,,,Extended,Customs Extension,,NP811001353,5301,,47,6D0
,,,Extended,Customs Extension,,NP810010934,5301,,47,6D0
,,,Extended,Customs Extension,,NP810010934,5301,,47,6D0
,,,Extended,Customs Extension,,NP811001510,5301,,47,6D0
,,,Extended,Customs Extension,,NP810002659,5301,,47,6D0
,,,Extended,Customs Extension,,NP810002865,5301,,47,6D0
,,,Extended,Customs Extension,,NP810002840,5301,,47,6D0
,,,Extended,Customs Extension,,NP810002832,5301,,47,6D0
,,,Extended,Customs Extension,,NP810002824,5301,,47,6D0
,,,Extended,Customs Extension,,NP810002675,5301,,47,6D0
,,,Extended,Customs Extension,,NP810002667,5301,,47,6D0
,,,Extended,Customs Extension,,NP810002659,5301,,47,6D0
,,,Extended,Customs Extension,,NP810002642,5301,,47,6D0
,,,Extended,Customs Extension,,NP810002543,5301,,47,6D0
,,,Extended,Customs Extension,,NP810002535,5301,,47,6D0
,,,Extended,Customs Extension,,NP811001502,5301,,47,6D0
,,,Extended,Customs Extension,,NP810002311,5301,,47,6D0
,,,Extended,Customs Extension,,NP810002303,5301,,47,6D0
,,,Extended,Customs Extension,,NP810002253,5301,,47,6D0
,,,Extended,Customs Extension,,NP810002261,5301,,47,6D0
,,,Extended,Customs Extension,,NP810002048,5301,,47,6D0
,,,Extended,Customs Extension,,NP810002147,5301,,47,6D0
,,,Extended,Customs Extension,,NP810002121,5301,,47,6D0
,,,Extended,Customs Extension,,NP810002113,5301,,47,6D0
,,,Extended,Customs Extension,,NP810002113,5301,,47,6D0
,,,Extended,Customs Extension,,NP810002097,5301,,47,6D0
,,,Extended,Customs Extension,,NP810001859,5301,,47,6D0
,,,Extended,Customs Extension,,SQ310072203,5301,,47,6D0
,,,Extended,Customs Extension,,96802005874,5301,,47,6D0
,,,Extended,Customs Extension,,AA603410587,5301,,47,6D0
,,,Extended,Customs Extension,,AA603410595,5301,,47,6D0
,,,Extended,Customs Extension,,AA603405785,5301,,47,6D0
,,,Extended,Customs Extension,,96802006054,5301,,47,6D0
,,,Extended,Customs Extension,,96801906833,5301,,47,6D0
,,,Extended,Customs Extension,,NP810002600,5301,,47,6D0
,,,Liquidated,,Change Increase,JF901320628,5301,,47,6D0
,,,Liquidated,,Change Increase,JF901320636,5301,,47,6D0
,,,Liquidated,,No Change,AA603410017,5301,,47,6D0
